date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:58	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Apr%202017%2011:36:50%20GMT	http://htmlmystore.justthemevalley.com/robots.txt		(from )
17:36:58	141080/141080	---M-Z	200	added ('OK')	text/html	etag:%2289a0387-22718-54ce8033ec516-gzip%22	http://htmlmystore.justthemevalley.com/genius/Version3/index.html	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/index.html	(from )
17:36:58	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2289a0382-47e-54b7ece6469e4%22	http://htmlmystore.justthemevalley.com/genius/Version3/favicon.ico	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/favicon.ico	(from http://htmlmystore.justthemevalley.com/genius/Version3/index.html)
17:36:59	541/541	---M--	200	added ('OK')	text/css	etag:%2289a044d-21d-54b7eceee56a1%22	http://htmlmystore.justthemevalley.com/genius/Version3/style.css	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/style.css	(from http://htmlmystore.justthemevalley.com/genius/Version3/index.html)
17:36:59	8044/8044	---M--	200	added ('OK')	image/jpeg	etag:%2289a184f-1f6c-54b7ed7a92656%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/flag-default.jpg	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/flag-default.jpg	(from http://htmlmystore.justthemevalley.com/genius/Version3/index.html)
17:36:59	593/593	---M--	200	added ('OK')	image/jpeg	etag:%2289a1850-251-54b7ed7b41720%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/flag-english.jpg	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/flag-english.jpg	(from http://htmlmystore.justthemevalley.com/genius/Version3/index.html)
17:36:59	11046/11046	---M--	200	added ('OK')	image/jpeg	etag:%2289a1851-2b26-54b7ed7b9e76a%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/flag-german.jpg	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/flag-german.jpg	(from http://htmlmystore.justthemevalley.com/genius/Version3/index.html)
17:36:59	9173/9173	---M--	200	added ('OK')	image/jpeg	etag:%2289a184d-23d5-54b7ed7a190ec%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/flag-brazil.jpg	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/flag-brazil.jpg	(from http://htmlmystore.justthemevalley.com/genius/Version3/index.html)
17:37:00	8727/8727	---M--	200	added ('OK')	image/jpeg	etag:%2289a184e-2217-54b7ed7aa3f96%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/flag-chile.jpg	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/flag-chile.jpg	(from http://htmlmystore.justthemevalley.com/genius/Version3/index.html)
17:37:01	8618/8618	---M--	200	added ('OK')	image/jpeg	etag:%2289a1852-21aa-54b7ed7bfea7c%22	http://htmlmystore.justthemevalley.com/genius/Version3/images/flag-spain.jpg	C:/My%20Web%20Sites/shop/htmlmystore.justthemevalley.com/genius/Version3/images/flag-spain.jpg	(from http://htmlmystore.justthemevalley.com/genius/Version3/index.html)
